rowid,kepler_name,koi_period,koi_prad,koi_teq,koi_insol
5912,,31.5073649,0.74,253.0,0.97
5948,,538.36855,2.37,237.0,0.74
5953,,369.73011,1.66,274.0,1.34
5955,,396.349253,2.39,293.0,1.73
5957,,149.526152,1.69,202.0,0.39
5961,,435.50635,2.06,225.0,0.61
5965,,252.04444,2.49,196.0,0.35
5985,,215.732414,1.26,292.0,1.72
5991,,210.971635,2.04,293.0,1.75
5994,,438.81524,1.36,202.0,0.39
6008,,290.438547,1.11,235.0,0.72
6014,,419.95929,1.53,266.0,1.18
6017,,681.01756,1.69,274.0,1.33
6026,,84.6405853,1.72,271.0,1.27
6034,,219.931324,2.3,279.0,1.43
6035,,385.29212,1.57,290.0,1.68
6038,,455.195496,2.09,290.0,1.67
6046,,40.8801539,0.92,265.0,1.17
6069,,149.237142,2.22,299.0,1.89
6070,,501.51698,1.99,224.0,0.59
6071,,357.77096,1.42,249.0,0.9
6079,,590.44065,1.62,291.0,1.7
6081,,241.647602,1.88,300.0,1.92
6094,,535.93723,1.83,227.0,0.63
6095,,367.72767,1.96,184.0,0.27
6106,,506.771836,1.8,275.0,1.35
6109,,348.96347,2.04,198.0,0.36
6117,,651.07431,1.55,234.0,0.71
6118,,545.54618,2.01,296.0,1.82
6120,,328.84846,2.23,219.0,0.54
6147,,329.71491,1.39,232.0,0.68
6163,,349.73652,2.32,216.0,0.52
6169,,215.044269,1.89,306.0,2.07
6174,,371.56492,1.89,259.0,1.06
6176,,364.63189,2.06,298.0,1.86
6179,,476.39752,1.82,261.0,1.09
6181,,444.04257,1.48,211.0,0.47
6183,,484.172005,2.38,235.0,0.72
6184,,277.77499,2.48,216.0,0.52
6185,,561.08191,1.93,255.0,1.0
6196,,550.86514,2.06,238.0,0.76
6197,,380.39474,1.84,224.0,0.6
6199,,350.98474,1.97,228.0,0.63
6203,,528.10984,0.77,201.0,0.39
6211,,250.4858,2.1,246.0,0.86
6212,,401.38712,2.04,303.0,1.98
6214,,288.94276,1.05,265.0,1.16
6222,,179.25465,1.35,301.0,1.94
6227,,251.958533,1.4,291.0,1.69
6233,,370.05918,1.9,206.0,0.43
6241,Kepler-62 f,267.282521,1.43,207.0,0.44
6248,,359.98653,1.76,200.0,0.38
6255,,314.765374,2.0,217.0,0.53
6261,,452.30053,2.29,199.0,0.37
6275,,492.25299,1.8,224.0,0.59
6284,,491.08027,1.86,241.0,0.79
6287,,471.37787,1.31,267.0,1.2
6292,,474.22897,2.0,225.0,0.6
6309,,386.62189,1.44,267.0,1.21
6312,,426.942225,2.32,187.0,0.29
6314,,91.507044,1.43,302.0,1.97
6315,,188.664098,2.02,232.0,0.68
6319,,492.23808,2.19,209.0,0.45
6320,,372.30881,2.09,249.0,0.91
6324,,229.948531,1.09,301.0,1.93
6331,,201.621794,2.02,309.0,2.14
6333,,591.37382,2.2,289.0,1.65
6340,,284.699924,2.0,293.0,1.74
6357,,428.379308,2.0,236.0,0.74
6361,,485.57785,2.18,187.0,0.29
6362,,374.05697,2.34,209.0,0.45
6363,,643.4528,2.03,192.0,0.32
6364,,339.633833,2.04,250.0,0.93
6373,,242.484764,1.58,283.0,1.51
6374,,383.26217,1.57,203.0,0.4
6378,,507.48249,1.22,189.0,0.3
6386,,370.91308,1.74,266.0,1.18
6390,,541.04472,1.08,206.0,0.43
6392,,571.14302,2.22,210.0,0.46
6400,,231.521608,1.96,274.0,1.34
6403,,495.854189,2.41,230.0,0.67
6405,,318.25858,2.03,212.0,0.48
6420,,295.958914,2.1,265.0,1.17
6423,,631.99116,1.86,210.0,0.46
6426,,615.81928,1.24,221.0,0.56
6434,,313.82752,1.26,272.0,1.28
6438,,425.593391,2.25,278.0,1.41
6448,,586.63177,1.18,189.0,0.3
6451,,438.00974,0.73,197.0,0.36
6456,,513.14417,1.3,208.0,0.45
6463,,583.8531,1.97,196.0,0.35
6467,,474.96952,2.44,249.0,0.91
6471,,512.11636,1.47,198.0,0.36
6472,,348.61891,2.4,253.0,0.97
6478,,574.65297,2.28,196.0,0.35
6482,,612.882452,2.42,217.0,0.53
6497,,381.37504,1.24,212.0,0.48
6515,,247.372131,2.47,290.0,1.67
6528,,292.09809,2.09,267.0,1.2
6534,,371.18648,2.06,291.0,1.68
6539,,542.91133,2.27,199.0,0.37
6540,,376.554588,2.0,247.0,0.88
6547,,189.961729,1.93,260.0,1.08
6551,,432.074696,2.39,193.0,0.32
6559,,476.80454,1.12,227.0,0.63
6564,,578.21805,2.44,223.0,0.59
6568,,208.02789,1.04,196.0,0.35
6593,,376.934014,2.13,274.0,1.33
6596,,124.091252,1.3,305.0,2.04
6597,,403.163148,2.49,240.0,0.79
6601,,351.25069,2.23,186.0,0.28
6614,,520.58269,1.94,244.0,0.83
6630,,346.4174,2.41,251.0,0.94
6635,,376.24253,1.32,254.0,0.99
6643,,585.64118,2.2,207.0,0.43
6644,,574.69029,1.26,191.0,0.31
6648,,370.46262,2.03,284.0,1.53
6649,,480.19416,1.79,235.0,0.72
6650,,368.49828,1.86,214.0,0.5
6660,,114.734287,1.1,296.0,1.82
6661,,362.0619,2.12,203.0,0.41
6681,,122.58481,1.19,279.0,1.43
6691,,281.95332,2.31,204.0,0.41
6697,,388.67155,1.49,210.0,0.46
6709,,323.77153,1.44,216.0,0.52
6727,,191.272501,1.59,310.0,2.18
6728,,286.02266,2.03,180.0,0.25
6731,,575.42002,1.91,225.0,0.61
6733,,365.739893,1.73,241.0,0.8
6735,,368.72715,1.55,215.0,0.51
6748,,570.01886,1.62,190.0,0.31
6760,,601.13797,1.81,254.0,0.99
6763,,551.22396,2.1,206.0,0.42
6764,,466.90824,2.19,210.0,0.46
6767,,356.99135,2.47,240.0,0.78
6775,,253.790434,2.06,253.0,0.97
6776,,322.544807,0.68,219.0,0.55
6784,,359.854745,2.25,302.0,1.97
6792,,471.39698,1.87,265.0,1.16
6795,,291.306507,2.49,219.0,0.54
